label,ts_code,trade_date,pct_chg,close,vol,amount
上证,000001.SH,20260522,0.8737,4112.8996,589459644.0,1285847521.7
深成指,399001.SZ,20260522,2.2957,15597.2969,763067278.0,1617472538.5
创业板,399006.SZ,20260522,2.8389,3938.502,214290151.0,787396763.2
沪深300,000300.SH,20260522,1.2962,4845.0956,286940435.0,771823300.851
