ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
885490.TI,民营医院,N,20260522,0.587,,1517.833,76777943.0
700487.TI,综合支持服务(A股),I,20260522,0.5865,,5571.3076,3113046.14
884243.TI,体外诊断,I,20260522,0.5843,,29100.239,2720011.6
700517.TI,教育服务(A股),I,20260522,0.5826,,844.1479,1773447.41
885914.TI,煤炭概念,N,20260522,0.5717,,2316.594,47704591.0
882006.TI,甘肃,R,20260522,0.5706,,4332.967,14539229.0
886012.TI,宠物经济,N,20260522,0.5675,,1486.58,11201747.5
885900.TI,NMN概念,N,20260522,0.5648,,1334.968,5534647.1
991001.TI,上证指数(旧),S,20260522,0.5642,,4420.44,589295040.0
884124.TI,调味发酵品,I,20260522,0.564,,2049.961,3384824.4
881141.TI,中药,I,20260522,0.5633,,3150.208,8931829.5
884197.TI,中药Ⅲ,I,20260522,0.5633,,3150.208,8931829.5
885740.TI,化债概念(AMC概念),N,20260522,0.5477,,1188.86,9802685.4
884210.TI,食品及饲料添加剂,I,20260522,0.5456,,3395.527,1635766.1
885839.TI,人造肉,N,20260522,0.5346,,1510.656,2519733.5
885913.TI,医美概念,N,20260522,0.5274,,1334.277,11488311.7
885879.TI,流感,N,20260522,0.5247,,1455.974,19732862.0
700479.TI,工业集团企业Ⅳ(A股),I,20260522,0.5217,,1403.6646,480260.43
700371.TI,工业集团企业Ⅲ(A股),I,20260522,0.5217,,1403.6646,480260.43
885457.TI,手机游戏,N,20260522,0.5166,,2901.387,17556637.0
884010.TI,粮油加工,I,20260522,0.5133,,1157.172,455530.29
885977.TI,国资云,N,20260522,0.5127,,1597.085,21972148.0
884201.TI,物流Ⅲ,I,20260522,0.5084,,5488.499,5785648.4
881152.TI,物流,I,20260522,0.5084,,5488.499,5785648.4
871028.TI,,,20260522,0.4863,,1725.244,686334.03
884078.TI,农用机械,I,20260522,0.4836,,2712.058,719307.48
885812.TI,农业种植,N,20260522,0.4822,,2481.721,14677307.0
700422.TI,独立电力生产商与能源贸易商Ⅲ(A股),I,20260522,0.4786,,1021.2699,9981043.4
871023.TI,,,20260522,0.4712,,921.992,1299712.93
885791.TI,知识产权保护,N,20260522,0.4665,,1829.744,13203779.4
881128.TI,汽车服务及其他,I,20260522,0.4568,,1134.408,2424020.3
886077.TI,合成生物,N,20260522,0.452,,1591.678,21778840.0
871005.TI,,,20260522,0.4495,,1716.056,137501.03
885764.TI,自由贸易港,N,20260522,0.4427,,1008.202,17614177.0
700455.TI,石油与天然气的储存和运输(A股),I,20260522,0.4374,,2687.664,620976.82
883405.TI,高送转,S,20260522,0.4332,,10895.37,291644.71
884260.TI,游戏Ⅲ,I,20260522,0.4328,,9968.938,6922630.7
881275.TI,游戏,I,20260522,0.4328,,9968.938,6922630.7
700592.TI,房地产服务(A股),I,20260522,0.4324,,1154.9658,2553781.74
885661.TI,医药电商,N,20260522,0.4309,,1015.441,22633936.0
884203.TI,产业地产,I,20260522,0.4286,,2441.646,3699843.9
871049.TI,,,20260522,0.4267,,2543.253,4790296.8
700582.TI,燃气公用事业Ⅳ(A股),I,20260522,0.4246,,1034.7601,4839565.05
700419.TI,燃气公用事业Ⅲ(A股),I,20260522,0.4246,,1034.7569,4839565.05
700474.TI,航天航空与国防(A股),I,20260522,0.4234,,3142.9401,11019227.57
700367.TI,航空航天与国防(A股),I,20260522,0.4234,,3143.2094,11019227.57
