ts_code,name,pct_change,leading,leading_pct,up_num,down_num,turnover_rate,total_mv,idx_type
BK1649.DC,油气资源,0.87,洪田股份,9.99,100,55,0.97,650039347.2,概念板块
BK1121.DC,第四代半导体,0.87,南大光电,1.56,3,1,4.33,10688813.9,概念板块
BK0889.DC,医美概念,0.87,京东方Ａ,10.02,53,21,6.76,110937147.2,概念板块
BK0853.DC,电子竞技,0.87,京东方Ａ,10.02,21,11,7.17,283999374.4,概念板块
BK0729.DC,船舶制造,0.87,海兰信,5.37,10,3,1.76,79438976.0,概念板块
BK1544.DC,大宗用纸,0.86,森林包装,10.01,7,5,1.72,9731158.4,行业板块
BK1017.DC,资源开采概念,0.86,金石资源,8.54,16,5,1.55,36260222.4,概念板块
BK0643.DC,上海自贸,0.85,张江高科,6.27,21,10,0.95,96902611.2,概念板块
BK0498.DC,AB股,0.85,大众交通,10.05,45,24,4.62,133399867.2,概念板块
BK1579.DC,保健品,0.84,交大昂立,9.94,4,5,2.54,5742915.2,行业板块
BK1477.DC,其他专业工程,0.84,再升科技,6.4,11,7,2.25,26667091.8,行业板块
BK0923.DC,抖音概念(字节概念),0.84,大普微-UW,8.94,55,32,3.9,251041265.6,概念板块
BK0841.DC,体外诊断概念,0.84,华盛昌,10.0,45,22,1.84,82811224.0,概念板块
BK1463.DC,水泥制品,0.83,龙泉股份,2.9,6,3,2.54,3559841.4,行业板块
BK1377.DC,火力发电,0.83,晋控电力,6.55,23,7,2.88,116042086.4,行业板块
BK1256.DC,农产品加工,0.83,华资实业,10.04,17,9,1.39,28250040.0,行业板块
BK0959.DC,数字阅读,0.83,平治信息,8.92,13,6,2.61,19312041.3,概念板块
BK0534.DC,成渝特区,0.83,新金路,10.01,45,38,1.55,222068774.4,概念板块
BK0421.DC,铁路公路,0.83,大众交通,10.05,21,10,0.53,81612001.6,行业板块
BK1673.DC,破增发价股,0.82,金隅集团,9.8,413,226,1.67,1201162291.2,概念板块
BK1551.DC,百货,0.82,供销大集,5.13,15,5,2.72,13006570.5,行业板块
BK1190.DC,虚拟机器人,0.82,风华高科,10.0,8,8,3.64,66607292.8,概念板块
BK1537.DC,成品家居,0.81,恒林股份,10.01,9,7,2.4,11846727.8,行业板块
BK1393.DC,工程机械整机,0.81,海伦哲,12.1,13,7,1.42,58886574.4,行业板块
BK1392.DC,工程机械器件,0.81,长龄液压,3.4,10,3,1.35,22948022.7,行业板块
BK1260.DC,渔业,0.81,开创国际,1.88,6,0,1.71,1798784.3,行业板块
BK0739.DC,工程机械,0.81,海伦哲,12.1,23,10,1.41,81834596.8,行业板块
BK0669.DC,生态农业,0.81,路德科技,6.52,31,7,2.05,29320003.2,概念板块
BK0606.DC,油气设服,0.81,四方达,19.99,31,17,1.51,236650681.6,概念板块
BK1186.DC,首发经济,0.8,合百集团,9.99,25,13,3.06,36091712.0,概念板块
BK1202.DC,房地产,0.79,华丽家族,10.17,66,30,1.81,103823556.8,行业板块
BK0879.DC,标准普尔,0.79,大众交通,10.05,559,445,1.32,6590962969.6,概念板块
BK1476.DC,化学工程,0.78,镇海股份,3.7,5,1,1.28,7403984.2,行业板块
BK1001.DC,内贸流通,0.78,飞亚达,9.99,101,56,1.96,138331540.8,概念板块
BK0957.DC,拼多多概念,0.78,德马科技,11.62,18,10,2.96,22437275.2,概念板块
BK1300.DC,院线,0.77,幸福蓝海,3.72,2,2,2.22,4160018.9,行业板块
BK0888.DC,农业种植,0.77,永太科技,6.97,56,27,2.02,75928502.4,概念板块
BK0724.DC,海绵城市,0.77,普邦股份,5.42,23,11,2.28,29431195.2,概念板块
BK0653.DC,养老概念,0.77,交大昂立,9.94,75,50,1.66,279491552.0,概念板块
BK1599.DC,其他医疗服务,0.76,*ST生物,2.59,4,1,3.05,2492642.0,行业板块
BK1268.DC,互联网电商,0.76,狮头股份,10.0,10,7,1.86,12884937.8,行业板块
BK1170.DC,AI制药（医疗）,0.76,华兰股份,18.5,30,29,2.6,68455969.6,概念板块
BK0514.DC,参股券商,0.76,大众交通,10.05,66,56,1.34,389758427.2,概念板块
BK0147.DC,新疆板块,0.76,卓郎智能,10.0,44,17,1.83,104677121.6,地域板块
BK1535.DC,纸包装,0.75,衢州东峰,4.82,16,5,2.47,13936263.7,行业板块
BK1248.DC,专业工程,0.75,再升科技,6.4,25,12,1.95,46681257.6,行业板块
BK1151.DC,短剧互动游戏,0.75,华智数媒,8.42,20,15,3.62,53233598.4,概念板块
