ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK1029.DC,汽车整车,20260522,1641.82,0.74,概念板块,1.13,12207220052.0
BK1071.DC,跨境支付,20260522,1614.64,0.73,概念板块,0.29,34463511469.0
BK1130.DC,时空大数据,20260522,1671.16,0.73,概念板块,2.98,9762125750.0
BK0671.DC,彩票概念,20260522,3014.24,0.72,概念板块,2.74,6144407235.0
BK1183.DC,谷子经济,20260522,1112.7,0.71,概念板块,3.13,17181573614.0
BK0665.DC,电商概念,20260522,2347.46,0.7,概念板块,2.26,95304072502.0
BK0425.DC,工程建设,20260522,28535.76,0.68,概念板块,1.21,23554681323.0
BK1514.DC,水产养殖,20260522,648.87,0.68,行业板块,1.83,230252510.0
BK1373.DC,电能综合服务,20260522,3670.73,0.67,行业板块,1.7,3803093371.0
BK1040.DC,中药Ⅱ,20260522,1334.4,0.66,行业板块,1.4,8182074837.0
BK1595.DC,原料药,20260522,3788.37,0.66,行业板块,2.31,7635230615.0
BK1608.DC,中药Ⅲ,20260522,1334.4,0.66,行业板块,1.4,8182074837.0
BK0154.DC,广西板块,20260522,10528.85,0.65,地域板块,2.28,11516651627.0
BK0505.DC,中字头,20260522,9367.83,0.65,概念板块,0.56,76271087089.0
BK0807.DC,共享经济,20260522,924.58,0.65,概念板块,1.77,4174108811.0
BK0872.DC,青蒿素,20260522,1931.24,0.65,概念板块,1.21,3709301929.0
BK1516.DC,其他种植业,20260522,1046.82,0.65,行业板块,2.29,1008028600.0
BK0662.DC,在线教育,20260522,2146.36,0.64,概念板块,2.85,43128438882.0
BK0856.DC,工业大麻,20260522,1959.35,0.64,概念板块,1.81,7003904078.0
BK0939.DC,辅助生殖,20260522,1089.56,0.64,概念板块,2.13,13130293930.0
BK1319.DC,硅料硅片,20260522,2255.57,0.62,行业板块,4.59,3649475274.0
BK0500.DC,HS300_,20260522,12428.32,0.61,概念板块,0.87,771823300855.0
BK0838.DC,东北振兴,20260522,1228.95,0.61,概念板块,1.94,14819216759.0
BK0937.DC,蚂蚁概念,20260522,783.97,0.61,概念板块,0.72,38639666160.0
BK0965.DC,社区团购,20260522,855.87,0.61,概念板块,2.13,4760028416.0
BK1429.DC,食品及饲料添加剂,20260522,2385.45,0.61,行业板块,1.2,3060576238.0
BK1433.DC,复合肥,20260522,3432.32,0.61,行业板块,2.02,1068728037.0
BK1013.DC,华为欧拉,20260522,1301.31,0.6,概念板块,2.58,5236035308.0
BK1472.DC,基建市政工程,20260522,2250.01,0.6,行业板块,1.04,6331767579.0
BK1567.DC,其他专业服务,20260522,1199.97,0.6,行业板块,2.54,657848536.0
BK1659.DC,精准诊断,20260522,949.2,0.6,概念板块,1.71,14606222671.0
