ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
885957.TI,东数西算(算力),N,20260522,2.4316,,2544.365,152459510.0
885863.TI,磷化工,N,20260522,2.4041,,3340.041,19396471.0
885806.TI,华为概念,N,20260522,2.3979,,3896.779,384433610.0
885633.TI,染料,N,20260522,2.3778,,1664.69,6313251.3
886026.TI,POE胶膜,N,20260522,2.366,,970.405,5619226.5
885930.TI,工业母机,N,20260522,2.3644,,2267.466,27452287.0
885775.TI,燃料电池,N,20260522,2.3603,,2274.112,62351226.0
886093.TI,华为数字能源,N,20260522,2.3508,,1856.833,16378872.0
885574.TI,卫星导航,N,20260522,2.3365,,5350.075,78911597.0
886052.TI,核污染防治,N,20260522,2.3355,,1747.884,14751582.0
885944.TI,动力电池回收,N,20260522,2.3169,,1012.791,30288727.0
885921.TI,储能,N,20260522,2.3103,,2868.382,347463300.0
886069.TI,人形机器人,N,20260522,2.2937,,2821.16,121975426.0
885819.TI,电力物联网,N,20260522,2.2931,,2351.139,17207378.0
885652.TI,钛白粉概念,N,20260522,2.2889,,2137.658,4900349.4
885564.TI,无人机,N,20260522,2.2734,,3459.332,114830879.0
885700.TI,军工,N,20260522,2.2556,,2687.634,155579400.0
885562.TI,高铁,N,20260522,2.249,,4031.882,40481367.0
885427.TI,高端装备,N,20260522,2.2363,,3796.329,96983290.0
886065.TI,可控核聚变,N,20260522,2.2353,,2594.82,43693464.0
885897.TI,中芯国际概念,N,20260522,2.2257,,3362.279,36045862.0
885709.TI,虚拟现实,N,20260522,2.211,,1136.464,178177540.0
886107.TI,2025年报预增,N,20260522,2.2054,,1238.45,143406800.0
885958.TI,硅能源,N,20260522,2.1958,,1281.726,44592691.0
885939.TI,海峡两岸,N,20260522,2.1903,,2042.0,93566225.0
885922.TI,盐湖提锂,N,20260522,2.1709,,2151.731,16141576.0
886003.TI,钒电池,N,20260522,2.1613,,1561.021,22159759.0
886057.TI,新型工业化,N,20260522,2.1599,,1933.408,51114167.0
885829.TI,丙烯酸,N,20260522,2.145,,2095.074,4586372.4
885461.TI,充电桩,N,20260522,2.1354,,7260.847,170173680.0
885517.TI,机器人概念,N,20260522,2.1175,,4464.722,355969390.0
885736.TI,无人驾驶,N,20260522,2.1117,,3235.76,107773585.0
885999.TI,汽车热管理,N,20260522,2.0982,,2447.208,27189078.0
885903.TI,环氧丙烷,N,20260522,2.0927,,1713.26,8486555.1
885423.TI,安防,N,20260522,2.0822,,5384.694,35806838.0
885521.TI,粤港澳大湾区,N,20260522,2.0773,,2896.334,138887520.0
885884.TI,航空发动机,N,20260522,2.0675,,3744.865,26207833.0
886049.TI,空间计算,N,20260522,2.0553,,1417.444,9686548.2
885426.TI,海工装备,N,20260522,2.0448,,4125.369,83125228.0
886011.TI,光热发电,N,20260522,2.0421,,1171.616,23762137.0
886010.TI,空气能热泵,N,20260522,2.0378,,1656.174,14611286.0
885943.TI,EDR概念,N,20260522,2.0359,,1754.008,6757515.4
885907.TI,科创次新股,N,20260522,2.0335,,862.542,2011453.8
885640.TI,草甘膦,N,20260522,2.0288,,1524.589,3774280.7
886050.TI,算力租赁,N,20260522,2.0191,,1650.686,84282952.0
885834.TI,华为汽车,N,20260522,2.0131,,3379.048,47903564.0
885748.TI,可燃冰,N,20260522,2.0119,,1680.829,6607640.9
885759.TI,人脸识别,N,20260522,2.0114,,1471.315,25392362.0
886004.TI,虚拟电厂,N,20260522,2.0062,,1792.137,116040588.0
885312.TI,物联网,N,20260522,2.0031,,3360.645,187474440.0
886064.TI,小米汽车,N,20260522,1.9757,,1859.565,29414175.0
885587.TI,举牌,N,20260522,1.9668,,3082.914,3643351.9
886058.TI,华为昇腾,N,20260522,1.9577,,1813.582,22916329.0
885975.TI,电子身份证,N,20260522,1.9531,,1434.163,7303068.2
886063.TI,PEEK材料,N,20260522,1.9428,,2272.857,10793821.0
885571.TI,核电,N,20260522,1.9341,,4526.04,121940494.0
885901.TI,可降解塑料,N,20260522,1.9212,,1625.309,12668475.3
885739.TI,股权转让(并购重组),N,20260522,1.9175,,1189.058,108934600.0
885840.TI,人民币贬值受益,N,20260522,1.9103,,2563.474,140987110.0
885641.TI,风电,N,20260522,1.8824,,1480.841,174872760.0
885386.TI,建筑节能,N,20260522,1.8735,,1567.499,27952976.0
886030.TI,成飞概念,N,20260522,1.8723,,2024.808,8673818.1
883304.TI,中证500成份股,N,20260522,1.8659,,8576.94,221610390.0
885743.TI,军民融合,N,20260522,1.8456,,1772.312,61592516.0
886102.TI,中国AI 50,N,20260522,1.8379,,2232.301,26230098.0
885566.TI,大飞机,N,20260522,1.8364,,4229.445,42476652.0
885782.TI,水泥概念,N,20260522,1.8351,,1292.837,17721646.0
886067.TI,低空经济,N,20260522,1.8279,,2365.871,126771177.0
885882.TI,消毒剂,N,20260522,1.823,,2170.201,14682573.0
885459.TI,网络安全,N,20260522,1.8221,,6044.57,50674657.0
885926.TI,牙科医疗,N,20260522,1.817,,1154.338,6732300.9
885823.TI,氢能源,N,20260522,1.7925,,2985.867,130699433.0
885963.TI,智慧灯杆,N,20260522,1.7858,,1740.077,14772922.0
886000.TI,一体化压铸,N,20260522,1.7812,,1388.755,12437965.5
885861.TI,ETC,N,20260522,1.7657,,1925.339,12336463.1
886076.TI,军工信息化,N,20260522,1.7188,,1917.803,19333351.0
885960.TI,民爆概念,N,20260522,1.7108,,1865.0,8862601.4
885938.TI,换电概念,N,20260522,1.7001,,1810.86,18053812.0
885832.TI,长三角一体化,N,20260522,1.6968,,2123.13,43782328.0
885694.TI,深股通,N,20260522,1.6784,,1438.518,615580290.0
885783.TI,工业互联网,N,20260522,1.6777,,2970.615,207390840.0
885406.TI,食品安全,N,20260522,1.6624,,4854.328,13770122.0
885543.TI,家用电器,N,20260522,1.6571,,4541.809,33639591.0
886066.TI,飞行汽车(eVTOL),N,20260522,1.6571,,2062.881,27658633.0
885920.TI,光伏建筑一体化,N,20260522,1.6564,,1744.838,108512506.0
885905.TI,注册制次新股,N,20260522,1.6458,,218.814,6715305.5
885902.TI,汽车拆解概念,N,20260522,1.6453,,1775.931,10177798.3
886061.TI,长安汽车概念,N,20260522,1.6402,,1803.007,109163527.0
883303.TI,上证380成份股,N,20260522,1.6387,,7366.56,135695390.0
885338.TI,融资融券,N,20260522,1.6348,,1960.288,1096337910.0
885410.TI,固废处理,N,20260522,1.6275,,2370.796,34035271.0
885753.TI,网约车,N,20260522,1.6245,,1587.804,6004886.6
886055.TI,星闪概念,N,20260522,1.6028,,1562.1,16115376.0
885412.TI,污水处理,N,20260522,1.598,,1957.926,48079819.0
885617.TI,福建自贸区,N,20260522,1.5943,,1760.074,35415757.0
886013.TI,信创,N,20260522,1.5905,,2205.258,67393111.0
885662.TI,车联网(车路协同),N,20260522,1.5773,,1285.645,72984631.0
885792.TI,赛马概念,N,20260522,1.5687,,1252.824,1357016.5
885961.TI,净水概念,N,20260522,1.5605,,1247.203,9593939.1
885890.TI,抖音概念(字节概念),N,20260522,1.5528,,1845.24,68829537.0
885428.TI,特钢概念,N,20260522,1.548,,3323.407,16637743.0
