ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
600545.SH,卓郎智能,20260522,09:45:36,,,09:45:36,通信,涨停,电子布、通信,214327047.0,,首板,,,,,,,100970176.0,644458068.0,10.76,6156293123.0,611865600.0
600596.SH,新安股份,20260522,10:34:11,,,13:01:20,机器人概念,涨停,机器人概念、化工,210810352.0,,首板,,,,,,,71302536.0,1005438024.0,8.22,12507274586.0,563717632.0
300179.SZ,四方达,20260522,09:46:15,,,13:41:33,金刚石概念,涨停,金刚石概念、专精特新,201654373.0,,首板,,,,,,,23291888.0,2902010202.0,30.62,9794165029.0,876581632.0
603806.SH,福斯特,20260522,13:59:58,,,14:03:55,通信,涨停,印制电路板、POE胶膜,201581162.0,,首板,,,,,,,64444780.0,1399326075.0,8.36,17399974487.0,323656064.0
603267.SH,鸿远电子,20260522,13:02:33,,,13:35:36,元器件,涨停,电阻电容、元器件,190032877.0,,首板,,,,,,,36661228.0,1508715246.0,16.32,9430254298.0,404991456.0
603936.SH,博敏电子,20260522,10:03:39,,,13:33:51,通信,涨停,无人驾驶、商业航天,189296993.0,,首板,,,,,,,49719324.0,2388941471.0,21.91,11139068429.0,360591712.0
603890.SH,春秋电子,20260522,09:47:55,,,09:58:16,算力,涨停,液冷、端侧AI,182360985.0,,首板,,,,,,,52269452.0,1111606964.0,15.91,7146258480.0,284047456.0
002733.SZ,雄韬股份,20260522,10:33:45,,,10:33:45,算力,涨停,算力、氢燃料电池,180398643.0,,首板,,,,,,,63452180.0,709770054.0,11.36,6413840982.0,763835392.0
002931.SZ,锋龙股份,20260522,10:03:51,,,14:00:03,机器人概念,涨停,机器人概念、汽车零部件,175599637.0,,2连板,,,,,,,30246320.0,1897729172.0,30.68,6485902098.0,293448736.0
603115.SH,海星股份,20260522,09:54:03,,,10:49:45,元器件,涨停,电阻电容、服务器,172921222.0,,5天3板,,,,,,,51571852.0,1088123527.0,11.32,9908890747.0,250031600.0
603379.SH,三美股份,20260522,10:18:57,,,10:39:09,化工,涨停,化工、制冷剂,170610194.0,,首板,,,,,,,68592592.0,911769444.0,6.18,15154136634.0,308706624.0
600497.SH,驰宏锌锗,20260522,13:34:20,,,14:03:06,有色金属,涨停,有色金属、金属锌,170007266.0,,首板,,,,,,,111473280.0,2574760534.0,8.81,30444502962.0,222442016.0
301377.SZ,鼎泰高科,20260522,13:00:45,,,13:00:45,通信,涨停,PCB设备、印制电路板,163867674.0,,首板,,,,,,,83534624.0,1819327369.0,8.53,22500610271.0,512253728.0
002975.SZ,博杰股份,20260522,09:48:00,,,09:48:00,芯片,涨停,磷化铟、端侧AI,156048420.0,,首板,,,,,,,104377056.0,1135188851.0,8.71,13271160296.0,860211776.0
002552.SZ,宝鼎科技,20260522,09:32:06,,,09:45:12,通信,涨停,PCB铜箔、通信,155041478.0,,首板,,,,,,,83040624.0,790452053.0,15.15,5281100968.0,361358528.0
603232.SH,格尔软件,20260522,09:30:00,,,09:30:00,数字经济,涨停,量子科技、算力,152191746.0,,首板,,,,,,,47528872.0,318401487.0,9.64,3302153453.0,608015616.0
301628.SZ,强达电路,20260522,10:03:36,,,11:29:06,通信,涨停,印制电路板、通信,149663867.0,,首板,,,,,,,67996344.0,1152682391.0,31.96,3768250644.0,455944544.0
002897.SZ,意华股份,20260522,14:44:03,,,14:50:21,通信,涨停,高速连接、通信,143624085.0,,首板,,,,,,,26332094.0,1451232715.0,19.81,7632089340.0,86890176.0
603989.SH,艾华集团,20260522,09:37:16,,,09:37:55,元器件,涨停,电阻电容、算力,143130301.0,,5天3板,,,,,,,180415840.0,445225143.0,11.74,3872596681.0,362569568.0
002885.SZ,京泉华,20260522,09:34:54,,,11:14:57,智能电网,涨停,固态变压器、算力,136961845.0,,首板,,,,,,,49535552.0,1569510246.0,17.9,8937947467.0,320976320.0
002046.SZ,国机精工,20260522,13:00:03,,,13:00:03,金刚石概念,涨停,金刚石概念、芯片,136482446.0,,首板,,,,,,,106245904.0,1145819981.0,7.99,14723015967.0,438247232.0
688020.SH,方邦股份,20260522,10:03:04,,,11:29:34,通信,涨停,PCB铜箔、复合集流体,132832426.0,,首板,,,,,,,60167956.0,1063164968.0,17.04,6490694564.0,191111696.0
000510.SZ,新金路,20260522,09:47:30,,,09:47:30,有色金属,涨停,金属钨、化工,131602491.0,,首板,,,,,,,109291328.0,470852826.0,5.95,8128388776.0,960758528.0
002606.SZ,大连电瓷,20260522,10:14:15,,,10:14:15,智能电网,涨停,电气设备、智能电网,128654398.0,,首板,,,,,,,139358816.0,642381135.0,13.43,4920114188.0,717706752.0
002036.SZ,联创电子,20260522,13:52:15,,,13:59:15,智能驾驶,涨停,无人驾驶、光学镜头,127002155.0,,2连板,,,,,,,72112360.0,2043053101.0,21.35,9927687672.0,240082912.0
000818.SZ,航锦科技,20260522,13:04:18,,,13:04:18,算力,涨停,算力租赁、算力,125116072.0,,首板,,,,,,,85316992.0,728887214.0,9.85,7716823519.0,780172416.0
605376.SH,博迁新材,20260522,09:31:46,,,10:07:28,元器件,涨停,元器件、有色金属,122750209.0,,4天2板,,,,,,,133470952.0,1509547702.0,6.0,25261056072.0,215677776.0
002806.SZ,华锋股份,20260522,10:08:24,,,10:38:24,实控人变更,涨停,实控人变更、储能,122667095.0,,首板,,,,,,,50578516.0,669516346.0,25.12,2717721703.0,213091968.0
002055.SZ,ST得润,20260522,09:25:00,,,13:03:36,ST板块,涨停,高速连接、通信,110803285.0,,5天4板,,,,,,,35853392.0,614493202.0,15.11,4088126194.0,79024874.0
000012.SZ,南玻Ａ,20260522,13:23:15,,,13:23:15,芯片,涨停,玻璃基板、玻璃,109338189.0,,2连板,,,,,,,46353320.0,518235465.0,6.64,8335638161.0,503370560.0
600611.SH,大众交通,20260522,09:25:58,,,09:25:58,芯片,涨停,芯片、智能交通,108578060.0,,3连板,,,,,,,210050096.0,358375609.0,5.36,6682316068.0,698072762.0
002993.SZ,奥海科技,20260522,13:08:33,,,13:36:30,机器人概念,涨停,电源、工商业储能,108102380.0,,首板,,,,,,,81625232.0,733694886.0,10.17,7477870838.0,531046304.0
600530.SH,交大昂立,20260522,09:34:11,,,09:34:11,保健品,涨停,保健品、股权转让,100482213.0,,3天2板,,,,,,,15419760.0,254063872.0,9.25,2781417256.0,135204336.0
688512.SH,慧智微,20260522,14:06:37,,,14:23:19,芯片,涨停,芯片、通信,99958537.0,,首板,,,,,,,23588444.0,807315306.0,15.87,5475500894.0,85080608.0
600714.SH,金瑞矿业,20260522,10:10:23,,,10:18:23,芯片,涨停,玻璃基板、非金属材料,97056482.0,,首板,,,,,,,61326100.0,649632717.0,12.0,5575288430.0,400511904.0
688603.SH,天承科技,20260522,09:34:18,,,09:38:27,芯片,涨停,玻璃基板、印制电路板,96584437.0,,首板,,,,,,,119089048.0,1293159025.0,16.4,8077877343.0,372972512.0
000026.SZ,飞亚达,20260522,10:00:39,,,10:00:39,并购重组,涨停,并购重组、端侧AI,96400958.0,,4天2板,,,,,,,47285768.0,588024673.0,11.87,5150001827.0,537124672.0
301312.SZ,智立方,20260522,13:00:27,,,13:00:27,通信,涨停,CPO/MPO、通信,90145706.0,,首板,,,,,,,68804288.0,1412537335.0,29.33,5119915516.0,482455264.0
603439.SH,三力制药,20260522,11:18:07,,,11:18:07,医药,涨停,创新药、医药,89973431.0,,首板,,,,,,,33142796.0,423233171.0,16.61,2613052963.0,235896464.0
600719.SH,大连热电,20260522,11:05:44,,,11:05:44,电力,涨停,电力、复合集流体,85809457.0,,首板,,,,,,,70073000.0,362685942.0,15.7,2407724881.0,385083072.0
300174.SZ,元力股份,20260522,13:00:57,,,13:52:15,元器件,涨停,电阻电容、元器件,83781073.0,,首板,,,,,,,38894852.0,1339153126.0,21.97,6410417753.0,531831456.0
601992.SH,金隅集团,20260522,09:33:44,,,09:45:11,商业航天,涨停,商业航天、物业服务,83519681.0,,首板,,,,,,,15873816.0,280736111.0,4.83,5877781794.0,78159480.0
002823.SZ,凯中精密,20260522,13:30:06,,,13:30:06,机器人概念,涨停,机器人概念、比亚迪产业链,79431134.0,,首板,,,,,,,59429840.0,365660575.0,11.59,3261116596.0,389010336.0
000532.SZ,华金资本,20260522,13:50:06,,,13:50:06,元器件,涨停,电阻电容、元器件,78312712.0,,首板,,,,,,,71814288.0,362979162.0,15.16,2478903805.0,246448560.0
603931.SH,格林达,20260522,09:49:16,,,09:49:16,芯片,涨停,光刻胶、芯片,77615844.0,,首板,,,,,,,52679540.0,371856104.0,6.73,5681955908.0,274438112.0
002667.SZ,*ST威领,20260522,10:05:00,,,10:56:21,ST板块,涨停,锂矿、锂电池,75313742.0,,首板,,,,,,,7359347.0,806614752.0,23.36,3596153815.0,28128390.0
000417.SZ,合百集团,20260522,09:34:21,,,14:34:57,芯片,涨停,芯片、平台经济,74223729.0,,5天4板,,,,,,,61175368.0,2587952754.0,53.79,4941900860.0,389343680.0
600683.SH,京投发展,20260522,09:54:10,,,09:56:58,并购重组,涨停,并购重组、地产链,70722866.0,,首板,,,,,,,26512752.0,391001351.0,7.73,5228046780.0,186371312.0
603960.SH,克来机电,20260522,11:16:15,,,11:16:15,物理AI,涨停,物理AI、CPO/MPO,69071311.0,,首板,,,,,,,47060104.0,334522586.0,9.01,3864615867.0,284440032.0
002725.SZ,跃岭股份,20260522,10:04:06,,,10:04:06,芯片,涨停,磷化铟、汽车零部件,67445897.0,,首板,,,,,,,33486522.0,265843204.0,10.94,2505607218.0,352144896.0
300069.SZ,金利华电,20260522,09:25:00,,,09:25:00,并购重组,涨停,并购重组、智能电网,63384788.0,,3连板,,,,,,,241989680.0,254166180.0,7.24,3512291562.0,523645614.0
605366.SH,宏柏新材,20260522,13:01:22,,,13:01:22,化工,涨停,有机硅、化工,62788061.0,,首板,,,,,,,31385476.0,510599082.0,8.69,6042700844.0,427838272.0
300243.SZ,瑞丰高材,20260522,13:14:27,,,13:14:27,通信,涨停,印制电路板、合成生物,60575287.0,,首板,,,,,,,28554816.0,851932254.0,22.01,4130408615.0,429309120.0
000711.SZ,ST京蓝,20260522,13:30:18,,,13:32:48,ST板块,涨停,元宇宙、靶材,57450865.0,,首板,,,,,,,29968084.0,617395829.0,4.95,12865260449.0,42396088.0
603223.SH,恒通股份,20260522,13:06:49,,,14:32:40,天然气,涨停,天然气、一季报增长,53487886.0,,首板,,,,,,,2249450.0,354559520.0,11.08,3257305896.0,95725192.0
600539.SH,狮头股份,20260522,09:43:03,,,09:43:03,物理AI,涨停,并购重组、物理AI,52263639.0,,首板,,,,,,,96811608.0,164283003.0,8.26,2050324650.0,265982816.0
301588.SZ,美新科技,20260522,10:00:03,,,10:33:51,地产链,涨停,装修家具、地产链,51485736.0,,首板,,,,,,,45642980.0,392837509.0,13.96,2943904014.0,374466272.0
603269.SH,海鸥股份,20260522,10:35:58,,,10:35:58,算力,涨停,液冷、算力,48756496.0,,首板,,,,,,,42203148.0,397391260.0,7.75,5303478519.0,209480048.0
