trade_date,ok,mode,from_cache,completeness,elapsed_ms,api_call_count,wall_seconds,error
20260518,1,hybrid,0,0.9545,43677,20,43.68,
20260519,1,hybrid,0,0.9545,48632,20,48.63,
20260520,1,hybrid,0,0.9545,40697,20,40.70,
20260521,1,hybrid,0,0.9545,68440,20,68.44,
20260522,1,hybrid,0,0.9545,49020,20,49.02,
20260525,1,hybrid,0,0.9545,52400,21,52.40,
20260526,1,hybrid,0,0.9091,65120,20,65.12,
