trade_date,ok,mode,from_cache,completeness,elapsed_ms,api_call_count,wall_seconds,error
20260518,1,hybrid,0,0.9545,24922,20,24.92,
20260519,1,hybrid,0,0.9545,23764,20,23.76,
20260520,1,hybrid,0,0.9545,27676,20,27.68,
20260521,1,hybrid,0,0.9545,23363,20,23.36,
20260522,1,hybrid,0,0.9545,27561,20,27.56,
20260525,1,hybrid,0,0.9545,24628,21,24.63,
20260526,1,hybrid,0,0.9545,30637,20,30.64,
